"occID","scientific_name","longitude","latitude","country","state_province","locality","year","record_type","catalog_number","institution_code","elevation","uncertainty"
28,"Alouatta palliata (Gray, 1849)",-85.33803,10.34507,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68190210","iNaturalist",NA,4
29,"Alouatta palliata (Gray, 1849)",-85.81445,10.3365,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68343268","iNaturalist",NA,NA
30,"Alouatta palliata (Gray, 1849)",-85.84246,10.29558,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68407533","iNaturalist",NA,20
31,"Alouatta palliata (Gray, 1849)",-85.65457,9.97613,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68506778","iNaturalist",NA,65
32,"Alouatta palliata (Gray, 1849)",-83.09636,8.43486,"Costa Rica","Puntarenas",NA,2021,"HUMAN_OBSERVATION","68697999","iNaturalist",NA,31
33,"Alouatta palliata (Gray, 1849)",-84.30472,10.02112,"Costa Rica","Alajuela",NA,2021,"HUMAN_OBSERVATION","67834562","iNaturalist",NA,8
34,"Alouatta palliata (Gray, 1849)",-85.81816,10.344,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68492658","iNaturalist",NA,NA
35,"Alouatta palliata (Gray, 1849)",-82.8153,9.69858,"Costa Rica","Limón",NA,2021,"HUMAN_OBSERVATION","68656494","iNaturalist",NA,357
36,"Alouatta palliata (Gray, 1849)",-85.84282,10.29535,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68447291","iNaturalist",NA,41
37,"Alouatta palliata (Gray, 1849)",-85.8157,10.33159,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68343419","iNaturalist",NA,NA
38,"Alouatta palliata (Gray, 1849)",-82.81488,9.69891,"Costa Rica","Limón",NA,2021,"HUMAN_OBSERVATION","68379569","iNaturalist",NA,32
39,"Alouatta palliata (Gray, 1849)",-85.76411,10.29711,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68492371","iNaturalist",NA,NA
